ID,RA,Dec,k80mag,e80mag,Jmag,eJmag,jMINUSeightzero,ERRORjMINUSeightzero
14796,296.21737,-14.88362,16.24,0.12,18.708,0.095,2.468,0.153052279
14799,296.1929,-14.88748,16.49,0.19,18.833,0.106,2.343,0.21756838
14802,296.26658,-14.82327,15.9,0.11,18.954,0.117,3.054,0.160589539
14805,296.06261,-14.87976,16.26,0.11,18.615,0.1,2.355,0.148660687
14806,296.13327,-14.73594,15.81,0.12,18.755,0.099,2.945,0.155566706
14807,296.16186,-14.83184,16.26,0.12,18.984,0.121,2.724,0.170414201
14808,296.36472,-14.76555,16.67,0.29,18.619,0.071,1.949,0.298564901
14810,296.19718,-14.76027,16.23,0.19,18.546,0.084,2.316,0.207740222
14816,296.40773,-14.86372,15.6,0.12,18.851,0.086,3.251,0.147634684
14819,296.30451,-14.82533,16.24,0.11,18.54,0.082,2.3,0.137200583
14820,296.29548,-14.87345,16.24,0.21,18.877,0.108,2.637,0.236144024
14821,296.19597,-14.80843,16.78,0.26,18.894,0.112,2.114,0.283097156
14822,296.31885,-14.8895,16.33,0.17,18.444,0.062,2.114,0.180953033
14823,296.23645,-14.9252,16.43,0.16,18.849,0.107,2.419,0.192481168
14825,296.15562,-14.912,16.57,0.22,18.476,0.079,1.906,0.233754144
14826,296.29805,-14.74269,16.8,0.28,18.553,0.083,1.753,0.292042805
14827,296.29175,-14.70395,16.19,0.14,19.039,0.119,2.849,0.183741666
14828,296.22512,-14.71736,14.15,0.09,19.236,0.142,5.086,0.168119005
14831,296.21029,-14.89212,16.05,0.15,19.232,0.148,3.182,0.210722566
14832,296.3767,-14.63083,15.93,0.14,19.258,0.149,3.328,0.204452929
14835,296.33955,-14.76723,16.61,0.28,18.702,0.076,2.092,0.290131005
14837,296.21564,-14.76723,16.47,0.21,18.866,0.11,2.396,0.237065392
14841,296.36854,-14.72972,16.17,0.12,18.89,0.089,2.72,0.149402142
14842,296.3507,-14.83975,15.92,0.14,19.486,0.146,3.566,0.202277038
14843,296.1925,-14.89771,16.28,0.19,19.127,0.136,2.847,0.23365787
14844,296.42034,-14.82189,16.44,0.29,18.843,0.085,2.403,0.302200265
14845,296.07873,-14.82866,16.22,0.28,19.024,0.141,2.804,0.313498006
14846,296.14985,-14.72697,16.76,0.27,19.051,0.126,2.291,0.297953016
14850,296.3924,-14.78161,16.26,0.15,18.969,0.095,2.709,0.177552809
14852,296.17254,-14.82792,17.01,0.26,18.833,0.107,1.823,0.28115654
14853,296.31562,-14.78708,16.4,0.2,18.987,0.119,2.587,0.23272516
14859,296.19017,-14.71802,16.39,0.27,19.513,0.186,3.123,0.327865826
14862,296.22965,-14.84722,16.19,0.17,18.7,0.096,2.51,0.195233194
14863,296.19606,-14.81042,16.45,0.21,18.811,0.105,2.361,0.234787138
14865,296.41379,-14.85032,16,0.17,18.367,0.058,2.367,0.179621825
14866,296.08659,-14.94067,15.71,0.24,17.95,0.057,2.24,0.246675901
14870,296.05915,-14.80937,16.31,0.28,18.577,0.097,2.267,0.296325834
14872,296.19023,-14.75885,17.08,0.25,18.94,0.116,1.86,0.275601161
14878,296.10369,-14.78132,16.43,0.16,18.973,0.119,2.543,0.199401605
14881,296.20249,-14.87094,15.68,0.11,18.853,0.108,3.173,0.154155765
14884,296.27425,-14.86841,16.5,0.19,18.979,0.118,2.479,0.223660457
14886,296.33269,-14.84293,16.27,0.23,18.856,0.087,2.586,0.245904453
14887,296.19408,-14.87647,15.78,0.13,18.828,0.106,3.048,0.167737891
14891,296.34897,-14.73716,16.2,0.2,18.767,0.081,2.567,0.215779981
14893,296.20154,-14.78214,15.6,0.12,18.889,0.112,3.289,0.164146276
14895,296.29867,-14.7652,16.36,0.14,18.736,0.096,2.376,0.169752761
14901,296.14185,-14.90531,16.36,0.17,18.785,0.102,2.425,0.198252364
14910,296.30256,-14.73734,16.03,0.17,19.42,0.171,3.39,0.241124449
14917,296.3119,-14.71125,15.99,0.19,19.028,0.118,3.038,0.223660457
14920,296.24706,-14.82532,14.89,0.06,19.497,0.184,4.607,0.193535526
14923,296.13647,-14.73867,15.96,0.24,18.351,0.07,2.391,0.25
14930,296.32818,-14.90318,15.37,0.22,18.837,0.086,3.467,0.236211769
14932,296.28963,-14.82868,16.97,0.27,18.968,0.118,1.998,0.294659125
14938,296.1925,-14.87814,16.24,0.26,19.081,0.131,2.841,0.291137425
14939,296.19538,-14.74437,16.85,0.2,19.092,0.131,2.242,0.239083667
14942,296.2874,-14.64873,16.7,0.27,18.936,0.109,2.236,0.291171771
14944,296.22742,-14.68792,16.83,0.25,18.885,0.105,2.055,0.271154937
14946,296.16364,-14.92286,16.23,0.25,18.908,0.113,2.678,0.274351964
14947,296.06406,-14.90559,15.65,0.11,18.758,0.112,3.108,0.156984076
14948,296.15648,-14.80248,15.89,0.18,18.586,0.087,2.696,0.199922485
14953,296.23724,-14.86393,16.17,0.18,18.914,0.113,2.744,0.212529998
14957,296.30678,-14.82519,16.33,0.25,19.029,0.123,2.699,0.278619813
14962,296.39461,-14.80961,15.36,0.09,18.649,0.073,3.289,0.115883562
