ID,CMD3region,RA,Dec,k36mag,e36mag,k80mag,e80mag,threesixMINUSeightzero,ERRORthreesixMINUSeightzero
3699,5,296.17728,-14.84239,16.4,0.13,12.93,0.16,3.47,0.206155281
3707,5,296.18967,-14.65111,16.56,0.13,13.6,0.07,2.96,0.147648231
3710,5,296.10233,-14.72658,17.13,0.07,13.92,0.05,3.21,0.086023253
3726,5,296.40427,-14.90557,16.44,0.08,14.28,0.07,2.16,0.106301458
3733,5,296.17833,-14.84342,15.99,0.05,13.8,0.12,2.19,0.13
3758,5,296.07761,-14.83964,16.88,0.06,14.32,0.09,2.56,0.108166538
3773,5,296.25169,-14.79448,16.16,0.03,13.8,0.11,2.36,0.114017543
3776,5,296.02927,-14.68646,17.16,0.05,14.02,0.07,3.14,0.086023253
3823,5,296.2312,-14.84231,15.95,0.06,13.94,0.09,2.01,0.108166538
3880,5,296.21818,-14.72307,16.23,0.03,14.1,0.08,2.13,0.085440037
3888,5,296.24182,-14.80489,16.44,0.08,14.55,0.05,1.89,0.094339811
3907,5,296.42997,-14.89419,16.72,0.06,14.33,0.1,2.39,0.116619038
3968,5,296.25613,-14.83089,16.08,0.03,13.84,0.03,2.24,0.042426407
4002,5,296.22023,-14.85935,17.31,0.07,14.22,0.03,3.09,0.076157731
4003,5,296.41707,-14.82933,16.71,0.08,14.2,0.13,2.51,0.152643375
4016,5,296.08365,-14.88154,16.11,0.12,14.31,0.08,1.8,0.144222051
4020,5,296.24094,-14.78864,16.25,0.04,14.32,0.11,1.93,0.117046999
4037,5,296.24056,-14.79563,16.2,0.06,13.22,0.09,2.98,0.108166538
4047,5,296.2587,-14.88687,16.12,0.04,13.04,0.02,3.08,0.04472136
4179,5,296.40673,-14.91445,17,0.07,14.07,0.06,2.93,0.092195445
4271,5,296.27615,-14.79966,15.92,0.1,13.66,0.09,2.26,0.13453624
4280,5,296.08432,-14.84914,16.72,0.07,14.57,0.08,2.15,0.106301458
4318,5,296.15838,-14.75562,16.95,0.1,13.97,0.06,2.98,0.116619038
4346,5,296.33987,-14.89467,17.19,0.03,14.42,0.08,2.77,0.085440037
