ID,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
13240,296.34904,-14.84642,17.79,0.05,18.21,0.051,0.42,0.071421285
13243,296.24101,-14.73095,17.31,0.06,18.513,0.081,1.203,0.100801786
13244,296.15321,-14.88351,17.43,0.07,18.524,0.082,1.094,0.107814656
13246,296.30008,-14.77394,17.49,0.08,18.755,0.098,1.265,0.126506917
13247,296.08247,-14.89669,17.79,0.08,19.073,0.146,1.283,0.16648123
13250,296.38293,-14.70772,17.82,0.06,18.79,0.1,0.97,0.116619038
13251,296.25226,-14.83647,17.25,0.06,18.187,0.062,0.937,0.086278618
13255,296.29596,-14.74442,17.25,0.06,18.35,0.07,1.1,0.092195445
13256,296.34502,-14.88747,17.6,0.05,18.638,0.073,1.038,0.088481637
13258,296.23795,-14.93139,17.39,0.05,18.595,0.086,1.205,0.099478641
13260,296.08957,-14.75918,17.6,0.05,18.719,0.109,1.119,0.119920807
13261,296.20929,-14.89254,17.61,0.07,18.279,0.067,0.669,0.096896852
13262,296.22844,-14.72406,17.32,0.06,18.512,0.081,1.192,0.100801786
13263,296.22896,-14.9302,17.53,0.05,18.678,0.092,1.148,0.104709121
13265,296.08384,-14.74334,17.75,0.06,18.941,0.131,1.191,0.144086779
13266,296.21618,-14.81963,17.56,0.11,18.822,0.106,1.262,0.152761252
13267,296.18124,-14.77473,17.61,0.08,18.656,0.091,1.046,0.121165177
13269,296.4065,-14.80616,17.8,0.06,18.781,0.081,0.981,0.100801786
13270,296.17763,-14.74646,17.48,0.05,18.484,0.079,1.004,0.093493315
13273,296.3827,-14.69747,17.68,0.07,18.644,0.089,0.964,0.113229855
13274,296.27948,-14.81812,17.37,0.07,18.952,0.117,1.582,0.136341483
13275,296.18376,-14.75152,17.19,0.13,18.337,0.07,1.147,0.147648231
13280,296.26877,-14.86268,17.54,0.05,18.753,0.098,1.213,0.11001818
13281,296.25338,-14.89699,17.65,0.13,18.452,0.077,0.802,0.151092687
13284,296.23134,-14.8673,17.4,0.06,18.76,0.1,1.36,0.116619038
13287,296.3842,-14.80812,17.58,0.05,18.93,0.092,1.35,0.104709121
13291,296.2352,-14.90557,17.79,0.07,18.828,0.105,1.038,0.126194295
13293,296.1773,-14.72993,17.58,0.09,18.815,0.104,1.235,0.13753545
13295,296.30267,-14.84341,17.48,0.05,18.64,0.089,1.16,0.102083299
13300,296.12743,-14.86394,17.48,0.05,18.278,0.067,0.798,0.083600239
13302,296.21838,-14.83258,17.53,0.08,18.729,0.1,1.199,0.128062485
13305,296.07908,-14.94916,17.56,0.09,18.571,0.081,1.011,0.121082616
13308,296.36392,-14.68878,17.81,0.06,18.971,0.117,1.161,0.131487642
13309,296.14175,-14.85909,17.78,0.1,18.715,0.097,0.935,0.139316187
13310,296.10326,-14.93857,17.63,0.08,18.475,0.078,0.845,0.111731822
13311,296.20889,-14.87547,17.47,0.06,18.696,0.095,1.226,0.112361025
13314,296.2444,-14.73421,17.7,0.05,18.009,0.053,0.309,0.072862885
13315,296.20774,-14.72191,17.68,0.05,18.774,0.096,1.094,0.108240473
13317,296.1471,-14.76755,17.56,0.08,18.768,0.1,1.208,0.128062485
13318,296.28003,-14.80525,17.63,0.06,18.652,0.09,1.022,0.108166538
13320,296.1894,-14.71183,17.69,0.05,18.82,0.099,1.13,0.110909873
13323,296.26591,-14.90837,17.46,0.05,18.251,0.065,0.791,0.082006097
13325,296.20982,-14.91787,17.3,0.04,18.622,0.089,1.322,0.097575612
13326,296.21923,-14.91135,17.54,0.05,18.774,0.101,1.234,0.112698713
13327,296.11251,-14.74134,17.56,0.07,18.413,0.075,0.853,0.102591423
13328,296.23834,-14.88378,17.43,0.07,18.54,0.083,1.11,0.108577162
13331,296.08862,-14.82512,17.51,0.06,18.837,0.121,1.327,0.135059246
13335,296.26891,-14.76577,17.8,0.07,19.053,0.126,1.253,0.144138822
13337,296.43114,-14.90797,17.66,0.11,18.447,0.062,0.787,0.126269553
13338,296.24515,-14.90815,17.63,0.17,18.639,0.09,1.009,0.192353841
13340,296.10086,-14.83293,17.39,0.05,18.572,0.085,1.182,0.098615415
13341,296.12652,-14.95832,17.77,0.05,18.807,0.103,1.037,0.114494541
13342,296.26798,-14.85145,17.3,0.05,18.215,0.063,0.915,0.080430094
13343,296.3139,-14.76094,17.23,0.07,18.657,0.09,1.427,0.114017543
13344,296.22635,-14.80364,17.67,0.11,19.105,0.135,1.435,0.174140748
13350,296.2576,-14.89409,17.64,0.05,18.761,0.099,1.121,0.110909873
13352,296.33268,-14.85145,17.61,0.07,18.78,0.081,1.17,0.10705606
13353,296.18079,-14.89477,17.56,0.08,18.977,0.12,1.417,0.144222051
13354,296.1758,-14.76043,17.66,0.05,18.677,0.093,1.017,0.105588825
13358,296.1505,-14.75119,17.7,0.06,19.097,0.131,1.397,0.144086779
13359,296.11975,-14.78955,17.74,0.08,18.541,0.083,0.801,0.115277925
13363,296.24622,-14.8703,17.57,0.05,18.735,0.097,1.165,0.109128365
13368,296.25258,-14.67383,17.71,0.07,18.78,0.096,1.07,0.118810774
13369,296.34426,-14.73945,17.35,0.07,18.521,0.066,1.171,0.096208108
13371,296.12188,-14.70068,17.61,0.08,18.046,0.052,0.436,0.095414884
13375,296.29318,-14.65664,17.63,0.05,18.758,0.094,1.128,0.106470653
13376,296.31751,-14.79695,17.31,0.04,18.562,0.069,1.252,0.079755878
13377,296.34429,-14.82289,17.7,0.07,18.981,0.096,1.281,0.118810774
13379,296.32579,-14.77879,17.41,0.05,18.465,0.063,1.055,0.080430094
13380,296.24939,-14.94291,17.3,0.05,17.792,0.044,0.492,0.066603303
13383,296.16342,-14.82207,17.63,0.06,18.853,0.108,1.223,0.123547562
13385,296.29804,-14.76183,17.4,0.04,18.673,0.091,1.273,0.099403219
