ID,CMD2region,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
1606,2,296.23068,-14.82755,15.26,0.06,16.247,0.014,0.987,0.061611687
1607,2,296.34437,-14.83554,15.3,0.06,16.29,0.013,0.99,0.061392182
1613,2,296.11269,-14.71458,15.32,0.03,16.424,0.015,1.104,0.03354102
1617,2,296.32446,-14.77275,15.09,0.03,16.258,0.013,1.168,0.032695565
1624,2,296.39809,-14.78409,15.16,0.05,16.327,0.013,1.167,0.051662365
1627,2,296.24999,-14.9321,15.18,0.06,16.116,0.013,0.936,0.061392182
1632,2,296.23207,-14.73831,15.08,0.06,16.307,0.015,1.227,0.061846584
1643,2,296.41955,-14.77864,15.32,0.1,16.109,0.012,0.789,0.100717426
1646,2,296.37732,-14.66911,15.3,0.07,16.353,0.014,1.053,0.071386273
1651,2,296.1748,-14.84116,15.15,0.03,16.086,0.013,0.936,0.032695565
1656,2,296.25885,-14.73187,15.25,0.05,16.394,0.015,1.144,0.052201533
1659,2,296.29451,-14.9073,15.23,0.04,16.146,0.013,0.916,0.042059482
1660,2,296.29992,-14.88822,15.05,0.04,16.026,0.012,0.976,0.041761226
1669,2,296.34572,-14.76784,15.23,0.04,16.137,0.012,0.907,0.041761226
1670,2,296.24983,-14.9398,15.31,0.05,16.179,0.013,0.869,0.051662365
1675,2,296.09679,-14.7208,15.31,0.04,16.155,0.012,0.845,0.041761226
1676,2,296.2312,-14.93199,15.05,0.04,15.973,0.012,0.923,0.041761226
1681,2,296.25381,-14.87635,15.14,0.05,16.139,0.013,0.999,0.051662365
1685,2,296.16452,-14.7495,15.32,0.06,16.28,0.014,0.96,0.061611687
1687,2,296.27241,-14.92714,14.95,0.05,15.993,0.012,1.043,0.051419841
1695,2,296.22241,-14.84856,15.18,0.03,16.218,0.014,1.038,0.033105891
1698,2,296.11594,-14.89735,15.17,0.04,16.062,0.012,0.892,0.041761226
1702,2,296.08124,-14.85859,15.17,0.03,16.062,0.014,0.892,0.033105891
1723,2,296.26036,-14.88934,15.23,0.06,16.265,0.014,1.035,0.061611687
1729,2,296.33722,-14.86499,15.19,0.06,16.163,0.012,0.973,0.061188234
1742,2,296.27385,-14.92667,15.32,0.04,16.102,0.013,0.782,0.042059482
1743,2,296.3233,-14.67507,15.31,0.04,16.458,0.015,1.148,0.042720019
1760,2,296.0512,-14.7731,15.16,0.08,16.041,0.014,0.881,0.081215762
1761,2,296.33713,-14.78346,15.23,0.06,16.289,0.013,1.059,0.061392182
1769,2,296.37669,-14.78914,15.32,0.04,16.195,0.012,0.875,0.041761226
1773,2,296.33353,-14.76257,15.19,0.03,16.262,0.013,1.072,0.032695565
1779,2,296.25683,-14.92129,15.11,0.05,16.171,0.013,1.061,0.051662365
1780,2,296.26459,-14.8014,15.32,0.05,16.552,0.017,1.232,0.052810984
1796,2,296.22165,-14.90195,15.19,0.04,16.216,0.014,1.026,0.04237924
1808,2,296.2721,-14.92052,15.24,0.05,16.045,0.012,0.805,0.051419841
1811,2,296.14169,-14.76203,15.32,0.06,16.115,0.013,0.795,0.061392182
1817,2,296.07311,-14.88254,15.12,0.07,16.053,0.014,0.933,0.071386273
1822,2,296.18574,-14.81376,15.29,0.03,16.232,0.014,0.942,0.033105891
1824,2,296.09072,-14.84475,15.31,0.06,16.142,0.015,0.832,0.061846584
1833,2,296.12821,-14.8932,15.27,0.06,16.247,0.014,0.977,0.061611687
1839,2,296.25273,-14.77308,15.23,0.07,16.215,0.014,0.985,0.071386273
1845,2,296.2458,-14.84142,15.17,0.05,16.063,0.012,0.893,0.051419841
1864,2,296.28486,-14.92256,15.11,0.03,16.122,0.013,1.012,0.032695565
1881,2,296.20138,-14.85079,15.11,0.05,16.099,0.013,0.989,0.051662365
1893,2,296.23897,-14.89136,15.21,0.06,16.324,0.015,1.114,0.061846584
1909,2,296.19688,-14.73378,15.28,0.05,16.423,0.016,1.143,0.052497619
1957,2,296.29893,-14.87517,15.31,0.03,16.381,0.015,1.071,0.03354102
1974,2,296.24568,-14.94816,15.29,0.06,16.06,0.013,0.77,0.061392182
1976,2,296.19569,-14.86985,15.29,0.04,16.212,0.014,0.922,0.04237924
1983,2,296.03351,-14.69662,15.27,0.1,16.138,0.013,0.868,0.10084146
1984,2,296.27384,-14.92592,15.31,0.04,16.159,0.013,0.849,0.042059482
1988,2,296.20679,-14.89101,15.23,0.05,16.185,0.013,0.955,0.051662365
2000,2,296.2889,-14.6745,15.29,0.06,16.143,0.012,0.853,0.061188234
2031,2,296.24766,-14.83766,15.3,0.03,16.229,0.014,0.929,0.033105891
2056,2,296.2812,-14.85213,15.25,0.07,16.326,0.015,1.076,0.071589105
2062,2,296.30103,-14.9324,15.3,0.04,16.237,0.014,0.937,0.04237924
2075,2,296.21705,-14.75677,15.32,0.07,16.292,0.015,0.972,0.071589105
3868,2,296.2547,-14.91081,14.71,0.07,15.676,0.01,0.966,0.070710678
