ID,RA,Dec,k80mag,e80mag,k24mag,e24mag,eightzeroMINUStwentyfour,ERROReightzeroMINUStwentyfour
103,296.19068,-14.87268,11.83,0.04,10.4,0.09,1.43,0.098488578
104,296.43693,-14.89042,12.73,0.07,11.76,0.15,0.97,0.165529454
105,296.30039,-14.84762,12.65,0.02,12.67,-9999,-0.02,9999
106,296.29324,-14.90859,10.86,0.03,7.17,0.01,3.69,0.031622777
107,296.35693,-14.8596,12.82,0.03,11.36,0.12,1.46,0.123693169
108,296.10323,-14.89485,11.37,0.05,11.62,0.2,-0.25,0.206155281
109,296.33694,-14.67303,12.18,0.05,11.92,0.26,0.26,0.264764046
110,296.18259,-14.81214,12.68,0.03,12.07,0.23,0.61,0.23194827
111,296.17192,-14.9269,12.7,0.07,12.53,-9999,0.17,9999
112,296.14741,-14.9229,12.88,0.05,10.52,0.06,2.36,0.078102497
113,296.1123,-14.6724,12.61,0.03,12.46,-9999,0.15,9999
114,296.18295,-14.83655,12.64,0.04,11.64,-9999,1,9999
115,296.07335,-14.79784,12.73,0.05,11.91,-9999,0.82,9999
116,296.0763,-14.79473,12.73,0.03,12.03,-9999,0.7,9999
117,296.42594,-14.78076,11.89,0.06,11.58,0.3,0.31,0.305941171
118,296.23527,-14.85684,12.86,0.06,11.94,0.26,0.92,0.266833281
119,296.40046,-14.69058,12.71,0.04,11.54,0.2,1.17,0.203960781
120,296.04617,-14.82915,12.87,0.06,12.26,-9999,0.61,9999
121,296.26686,-14.86363,12.92,0.05,11.56,0.12,1.36,0.13
122,296.06638,-14.69383,12.7,0.04,12.16,-9999,0.54,9999
123,296.25169,-14.76934,11.64,0.02,10.32,0.05,1.32,0.053851648
124,296.33341,-14.65482,12.88,0.04,11.7,0.17,1.18,0.174642492
125,296.243,-14.74646,12.53,0.05,9.82,0.04,2.71,0.064031242
126,296.4175,-14.78418,12.94,0.04,12.01,-9999,0.93,9999
127,296.04358,-14.77349,12.92,0.04,11.92,-9999,1,9999
128,296.09188,-14.77513,12.83,0.04,13,-9999,-0.17,9999
129,296.14584,-14.94268,12.9,0.04,11.21,0.09,1.69,0.098488578
130,296.33903,-14.77034,12.97,0.04,12.42,-9999,0.55,9999
131,296.18257,-14.76972,12.32,0.03,11.37,0.18,0.95,0.182482876
132,296.06002,-14.89723,12.82,0.05,12.1,-9999,0.72,9999
133,296.37955,-14.86095,12.96,0.03,12.15,-9999,0.81,9999
134,296.39092,-14.82391,13.23,0.07,12.49,-9999,0.74,9999
135,296.12728,-14.87978,12.96,0.04,11.78,0.17,1.18,0.174642492
136,296.24058,-14.87483,12.98,0.06,11.99,-9999,0.99,9999
137,296.14853,-14.91315,12.76,0.04,12.44,-9999,0.32,9999
138,296.24643,-14.73465,12.05,0.04,10.87,0.11,1.18,0.117046999
139,296.13953,-14.7603,11.77,0.04,10.93,0.1,0.84,0.107703296
140,296.15558,-14.76741,12.89,0.05,13.67,-9999,-0.78,9999
141,296.17763,-14.84184,10.24,0.05,4.9,0.01,5.34,0.050990195
142,296.2016,-14.83456,12.97,0.03,12.92,-9999,0.05,9999
143,296.28905,-14.81079,11.84,0.03,8.26,0.02,3.58,0.036055513
144,296.19922,-14.84802,12.45,0.03,11.41,0.15,1.04,0.152970585
145,296.25539,-14.93009,12.98,0.05,12.95,-9999,0.03,9999
146,296.19971,-14.90522,13.12,0.06,11.22,0.12,1.9,0.134164079
147,296.43864,-14.88996,12.98,0.05,12.59,-9999,0.39,9999
148,296.21788,-14.68118,12.9,0.05,11.58,0.07,1.32,0.086023253
149,296.17063,-14.82048,12.96,0.04,12.26,-9999,0.7,9999
150,296.20534,-14.93589,12.98,0.04,12.36,-9999,0.62,9999
151,296.22565,-14.79905,11.79,0.02,10.76,0.09,1.03,0.092195445
152,296.39757,-14.8723,13.03,0.03,12.22,-9999,0.81,9999
153,296.25735,-14.77634,11.99,0.05,11.92,0.25,0.07,0.254950976
154,296.31736,-14.65804,13.24,0.03,12.38,-9999,0.86,9999
155,296.24588,-14.90415,12.95,0.05,12.31,-9999,0.64,9999
156,296.25803,-14.88435,12.94,0.04,12.13,-9999,0.81,9999
157,296.11884,-14.84249,13.02,0.03,12.28,-9999,0.74,9999
158,296.14856,-14.70173,12.99,0.03,11.66,-9999,1.33,9999
159,296.19461,-14.78725,12.98,0.04,10.75,0.1,2.23,0.107703296
160,296.23629,-14.77728,12.99,0.03,12.7,-9999,0.29,9999
161,296.21526,-14.73115,12.56,0.03,11.19,0.1,1.37,0.104403065
162,296.25026,-14.76425,11.43,0.04,10.07,0.04,1.36,0.056568542
163,296.30324,-14.79227,12.07,0.03,10.5,0.06,1.57,0.067082039
164,296.36525,-14.7382,11.81,0.02,10.28,0.09,1.53,0.092195445
165,296.11468,-14.81123,11.89,0.05,10.61,0.04,1.28,0.064031242
166,296.1265,-14.81,12.53,0.05,8.84,0.01,3.69,0.050990195
167,296.13371,-14.82412,12.85,0.03,11.35,0.18,1.5,0.182482876
168,296.24279,-14.7642,12.73,0.04,12.51,-9999,0.22,9999
169,296.20188,-14.8746,10.07,0.06,4.37,0.01,5.7,0.060827625
170,296.25547,-14.6868,11.59,0.03,10.25,0.05,1.34,0.058309519
171,296.26687,-14.74033,12.24,0.03,10.81,0.11,1.43,0.114017543
172,296.32972,-14.92623,13.1,0.06,11.01,0.09,2.09,0.108166538
173,296.29795,-14.74684,11.47,0.02,9.85,0.03,1.62,0.036055513
174,296.16462,-14.68309,11.96,0.02,12.14,-9999,-0.18,9999
175,296.22696,-14.80182,12.48,0.04,10.82,0.12,1.66,0.126491106
176,296.40753,-14.89033,13.04,0.09,13.37,-9999,-0.33,9999
177,296.16735,-14.9056,13.17,0.04,13.12,-9999,0.05,9999
178,296.06714,-14.76498,13.22,0.07,12.67,0.27,0.55,0.278926514
179,296.23553,-14.84629,13.15,0.06,11.43,0.19,1.72,0.199248588
180,296.35531,-14.71987,12.29,0.03,11.25,0.06,1.04,0.067082039
181,296.22557,-14.86952,13.12,0.05,12.05,-9999,1.07,9999
182,296.21629,-14.83186,11.91,0.06,9.97,0.05,1.94,0.078102497
183,296.31567,-14.72938,13.21,0.02,12.07,-9999,1.14,9999
184,296.26161,-14.71581,13.17,0.04,11.98,-9999,1.19,9999
185,296.30179,-14.78288,13.14,0.05,13.09,-9999,0.05,9999
186,296.20653,-14.67403,13.23,0.04,12.73,-9999,0.5,9999
187,296.06117,-14.82045,12.05,0.05,10.45,0.08,1.6,0.094339811
188,296.2509,-14.76778,12.76,0.02,11.11,0.08,1.65,0.082462113
189,296.08593,-14.76217,12.17,0.04,10.84,0.1,1.33,0.107703296
190,296.40985,-14.75052,13.2,0.04,12.15,-9999,1.05,9999
191,296.03356,-14.70361,13.16,0.04,12.21,0.22,0.95,0.223606798
192,296.19774,-14.6597,13.28,0.02,11.73,0.16,1.55,0.161245155
193,296.24721,-14.69463,13.24,0.04,12.06,0.23,1.18,0.233452351
194,296.23884,-14.87026,12.43,0.05,11.39,0.15,1.04,0.158113883
195,296.30012,-14.71033,13.22,0.06,12.23,-9999,0.99,9999
196,296.309,-14.85947,13.36,0.03,12.72,-9999,0.64,9999
197,296.40063,-14.87922,13.31,0.05,12.29,-9999,1.02,9999
198,296.2206,-14.71969,10.71,0.07,3.18,0.01,7.53,0.070710678
199,296.11576,-14.74815,13.19,0.03,12.04,0.21,1.15,0.212132034
200,296.38882,-14.79354,13.2,0.05,12.73,-9999,0.47,9999
201,296.1635,-14.84707,13.2,0.05,11.79,0.28,1.41,0.284429253
202,296.13706,-14.91463,13.34,0.04,11.92,0.27,1.42,0.272946881
203,296.19679,-14.7511,11.91,0.02,10.58,0.08,1.33,0.082462113
204,296.11019,-14.88392,13.43,0.06,12.16,0.27,1.27,0.276586334
205,296.28122,-14.67392,12.27,0.02,11.37,0.14,0.9,0.141421356
206,296.29761,-14.73668,11.68,0.04,11.66,0.24,0.02,0.243310501
207,296.18557,-14.70642,13.35,0.03,12.35,0.1,1,0.104403065
208,296.12048,-14.81758,13.55,0.13,12.65,-9999,0.9,9999.000001
209,296.2873,-14.77703,13.29,0.06,12.65,-9999,0.64,9999
210,296.14173,-14.77325,13.08,0.03,11.78,0.22,1.3,0.222036033
211,296.2401,-14.80786,12.62,0.05,11.42,0.25,1.2,0.254950976
212,296.17146,-14.80235,13.16,0.03,12.45,-9999,0.71,9999
213,296.19626,-14.7814,13.25,0.06,13.14,-9999,0.11,9999
214,296.37221,-14.68648,13.52,0.26,12.61,0.29,0.91,0.389486842
215,296.30174,-14.65182,13.26,0.05,12.58,-9999,0.68,9999
216,296.31953,-14.91435,13.3,0.06,11.63,0.14,1.67,0.152315462
217,296.28427,-14.92138,13.11,0.05,11.94,0.14,1.17,0.148660687
218,296.34423,-14.78912,13.23,0.06,12.36,-9999,0.87,9999
219,296.09573,-14.78005,13.25,0.04,12.16,0.26,1.09,0.263058929
220,296.15201,-14.94864,13.74,0.1,12.33,-9999,1.41,9999.000001
221,296.22998,-14.85172,12.34,0.04,11.33,0.11,1.01,0.117046999
222,296.34431,-14.84268,13.38,0.03,12.55,-9999,0.83,9999
223,296.20767,-14.7587,13.54,0.05,11.98,-9999,1.56,9999
224,296.26949,-14.736,13.34,0.03,12.03,-9999,1.31,9999
225,296.33233,-14.83996,13.33,0.03,11.49,0.23,1.84,0.23194827
226,296.24499,-14.90904,12.06,0.05,11.23,0.13,0.83,0.139283883
227,296.41454,-14.87259,13.36,0.05,13.29,-9999,0.07,9999
228,296.05884,-14.84961,13.13,0.05,12.36,-9999,0.77,9999
229,296.43103,-14.81664,13.72,0.14,12.37,-9999,1.35,9999.000001
230,296.2657,-14.72019,12.51,0.06,9.83,0.07,2.68,0.092195445
231,296.19331,-14.87334,13.4,0.04,11.25,0.21,2.15,0.213775583
232,296.0956,-14.69531,13.21,0.05,12.33,-9999,0.88,9999
233,296.35544,-14.90595,13.24,0.08,12.34,-9999,0.9,9999
234,296.23199,-14.81554,13.22,0.04,11.9,-9999,1.32,9999
235,296.11722,-14.77097,13.51,0.05,12.32,-9999,1.19,9999
236,296.24908,-14.81614,12.38,0.04,12.13,-9999,0.25,9999
237,296.30445,-14.71568,13.4,0.1,12.34,-9999,1.06,9999.000001
238,296.18633,-14.84361,13.3,0.07,13.27,-9999,0.03,9999
239,296.28428,-14.80885,12.07,0.04,10.15,0.06,1.92,0.072111026
240,296.25303,-14.87006,13.32,0.04,12.73,-9999,0.59,9999
241,296.25226,-14.80746,12.98,0.03,11.36,0.25,1.62,0.251793566
242,296.42704,-14.88821,13.42,0.12,12.18,-9999,1.24,9999.000001
243,296.15348,-14.74935,12.32,0.03,11.24,0.13,1.08,0.133416641
244,296.34877,-14.75449,13.44,0.04,12.4,-9999,1.04,9999
245,296.4125,-14.84521,13.44,0.08,12.15,-9999,1.29,9999
246,296.37153,-14.78017,13.38,0.04,12,-9999,1.38,9999
247,296.2457,-14.70599,13.38,0.03,12.46,-9999,0.92,9999
248,296.20426,-14.74264,13.1,0.04,11.48,0.16,1.62,0.164924225
249,296.33663,-14.673,12.16,0.01,11.93,0.28,0.23,0.280178515
250,296.1676,-14.68357,13.38,0.06,12.41,-9999,0.97,9999
251,296.31726,-14.77645,13.39,0.03,13.51,-9999,-0.12,9999
252,296.39222,-14.73048,13.71,0.1,12.03,0.29,1.68,0.306757233
253,296.27249,-14.78268,11.29,0.02,9.25,0.03,2.04,0.036055513
254,296.13894,-14.95596,13.39,0.06,11.37,0.17,2.02,0.180277564
255,296.32013,-14.82705,13.37,0.05,13.24,-9999,0.13,9999
256,296.07998,-14.67209,13.38,0.04,12.5,-9999,0.88,9999
257,296.21488,-14.72236,13.02,0.05,8.75,0.07,4.27,0.086023253
258,296.18769,-14.85518,13.3,0.04,12.16,-9999,1.14,9999
259,296.401,-14.75546,13.45,0.04,12.45,-9999,1,9999
260,296.09264,-14.72852,13.53,0.06,12.27,0.14,1.26,0.152315462
261,296.24239,-14.749,13.1,0.04,10.83,0.1,2.27,0.107703296
262,296.25351,-14.76931,12.69,0.03,12.6,-9999,0.09,9999
263,296.19153,-14.89907,13.48,0.07,11.91,0.22,1.57,0.230867928
264,296.21087,-14.80223,11.81,0.03,10.21,0.05,1.6,0.058309519
265,296.10025,-14.82748,13.49,0.03,11.79,0.15,1.7,0.152970585
266,296.12848,-14.71323,13.41,0.04,12.33,0.28,1.08,0.282842712
267,296.24315,-14.75707,13.56,0.05,11.79,0.13,1.77,0.139283883
268,296.29963,-14.69756,12.9,0.02,11.57,0.12,1.33,0.121655251
269,296.31622,-14.73153,13.4,0.04,11.27,0.15,2.13,0.155241747
270,296.16417,-14.701,12.38,0.02,12.85,-9999,-0.47,9999
271,296.27038,-14.77835,13.53,0.03,12.11,-9999,1.42,9999
272,296.18622,-14.76608,11.61,0.04,10.03,0.04,1.58,0.056568542
273,296.1708,-14.72217,13.53,0.04,11.82,0.18,1.71,0.184390889
274,296.25238,-14.79385,12.14,0.02,10,0.14,2.14,0.141421356
275,296.13597,-14.94001,13.46,0.04,13.01,-9999,0.45,9999
276,296.16929,-14.77951,12.38,0.05,10.83,0.11,1.55,0.12083046
277,296.17905,-14.75675,13.58,0.05,12.47,-9999,1.11,9999
278,296.34134,-14.74785,13.44,0.03,12.38,-9999,1.06,9999
279,296.15785,-14.96195,12.41,0.08,12.28,-9999,0.13,9999
280,296.23244,-14.75838,13.3,0.03,12.3,-9999,1,9999
281,296.23075,-14.73873,13.43,0.05,11.99,-9999,1.44,9999
282,296.20133,-14.78677,12.74,0.05,11.91,0.1,0.83,0.111803399
283,296.214,-14.91497,13.59,0.04,12.8,-9999,0.79,9999
284,296.23949,-14.82896,13.05,0.05,12.83,-9999,0.22,9999
285,296.33274,-14.63516,13.48,0.04,12.84,-9999,0.64,9999
286,296.27052,-14.73476,12.67,0.03,11.86,0.22,0.81,0.222036033
287,296.24324,-14.74608,12.53,0.03,9.56,0.03,2.97,0.042426407
288,296.34366,-14.89129,13.36,0.04,12.97,-9999,0.39,9999
289,296.32123,-14.79192,8.58,0.01,9.66,0.05,-1.08,0.050990195
290,296.07329,-14.72656,13.49,0.12,12.56,-9999,0.93,9999.000001
291,296.27355,-14.69438,12.38,0.05,12.6,-9999,-0.22,9999
292,296.2766,-14.82672,13.48,0.09,13.9,-9999,-0.42,9999
293,296.39367,-14.83433,13.64,0.04,11.63,0.24,2.01,0.243310501
294,296.23542,-14.90411,13.39,0.04,13.18,-9999,0.21,9999
295,296.15476,-14.81254,13.1,0.09,12.61,-9999,0.49,9999
296,296.28904,-14.77434,13.56,0.04,12.19,-9999,1.37,9999
297,296.18016,-14.83968,13.48,0.04,8.17,0.02,5.31,0.04472136
298,296.03842,-14.67612,13.18,0.07,11.44,0.15,1.74,0.165529454
299,296.26108,-14.73758,12.74,0.03,13.32,-9999,-0.58,9999
300,296.13803,-14.91596,13.58,0.05,12.2,-9999,1.38,9999
301,296.17886,-14.78595,13.66,0.03,11.44,0.18,2.22,0.182482876
302,296.19328,-14.91952,12.09,0.05,10.82,0.14,1.27,0.148660687
303,296.2921,-14.66876,13.55,0.04,12.23,-9999,1.32,9999
304,296.15225,-14.71613,13.65,0.02,12.33,-9999,1.32,9999
305,296.12903,-14.9471,13.47,0.06,11.72,0.21,1.75,0.218403297
306,296.31017,-14.79079,13.57,0.05,12.69,-9999,0.88,9999
307,296.19647,-14.70255,12.75,0.05,12.55,-9999,0.2,9999
308,296.24248,-14.91156,12.87,0.03,12.23,-9999,0.64,9999
309,296.38257,-14.899,13.4,0.05,11.64,0.12,1.76,0.13
310,296.06265,-14.91868,13.68,0.06,12.24,-9999,1.44,9999
311,296.10497,-14.82295,13.52,0.05,12.56,-9999,0.96,9999
312,296.41486,-14.91283,13.76,0.1,12.78,-9999,0.98,9999.000001
313,296.25864,-14.73678,12.06,0.04,9.97,0.04,2.09,0.056568542
314,296.24968,-14.78177,12.38,0.03,10.84,0.22,1.54,0.222036033
315,296.25698,-14.83044,12.19,0.04,10.64,0.1,1.55,0.107703296
316,296.22874,-14.79328,12.66,0.04,10.85,0.15,1.81,0.155241747
317,296.20195,-14.65092,13.59,0.05,12.26,-9999,1.33,9999
318,296.19395,-14.80631,13.5,0.08,12.67,-9999,0.83,9999
319,296.1512,-14.90698,12.53,0.04,12.07,0.29,0.46,0.292745623
320,296.19311,-14.77098,13.5,0.05,12.09,-9999,1.41,9999
321,296.26106,-14.81191,13.85,0.04,12.2,-9999,1.65,9999
322,296.22485,-14.74019,13.38,0.03,11.78,-9999,1.6,9999
323,296.24518,-14.84766,12.35,0.04,11.23,0.16,1.12,0.164924225
324,296.16175,-14.72242,12.26,0.03,10.95,0.06,1.31,0.067082039
325,296.27227,-14.78744,12.5,0.04,11.66,0.13,0.84,0.136014705
326,296.23291,-14.72954,13.51,0.04,10.94,0.11,2.57,0.117046999
327,296.27563,-14.74918,12.75,0.02,12.1,-9999,0.65,9999
328,296.13027,-14.78719,11.13,0.05,5.65,0.01,5.48,0.050990195
329,296.13877,-14.79593,13.64,0.03,11.15,0.14,2.49,0.143178211
330,296.22454,-14.7907,13.62,0.04,12.46,-9999,1.16,9999
331,296.23425,-14.86904,12.72,0.05,12.1,-9999,0.62,9999
332,296.29505,-14.87066,13.73,0.04,12.15,-9999,1.58,9999
333,296.34665,-14.71721,13.91,0.13,12.21,-9999,1.7,9999.000001
334,296.24322,-14.89375,13.63,0.05,12.42,-9999,1.21,9999
335,296.29248,-14.73493,13.78,0.04,12.51,-9999,1.27,9999
336,296.0913,-14.91853,13.6,0.03,12.05,-9999,1.55,9999
337,296.28032,-14.78206,13.66,0.04,12.97,-9999,0.69,9999
338,296.1688,-14.80104,13.62,0.05,12.24,-9999,1.38,9999
339,296.23638,-14.74041,13.63,0.1,11.15,0.16,2.48,0.188679623
