ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
6080,296.06929,-14.74356,17.922,0.056,16.933,0.048,0.989,0.073756356
6101,296.18251,-14.82978,17.808,0.046,16.854,0.037,0.954,0.059033889
6103,296.20792,-14.75498,17.838,0.046,16.815,0.036,1.023,0.058412327
6105,296.25131,-14.86156,17.99,0.052,16.966,0.041,1.024,0.066219333
6117,296.24088,-14.72012,17.897,0.046,16.844,0.033,1.053,0.056612719
6131,296.2554,-14.69839,17.95,0.048,17.001,0.037,0.949,0.06060528
6141,296.20474,-14.78719,17.948,0.051,16.829,0.036,1.119,0.062425956
6149,296.23463,-14.71466,17.87,0.045,16.754,0.03,1.116,0.054083269
6153,296.26674,-14.72663,17.959,0.051,16.985,0.046,0.974,0.068680419
6158,296.09835,-14.71753,17.919,0.047,16.828,0.032,1.091,0.056859476
6177,296.23997,-14.6736,17.863,0.045,16.765,0.03,1.098,0.054083269
6186,296.35,-14.82815,17.877,0.039,16.898,0.036,0.979,0.053075418
6195,296.3025,-14.81601,18.062,0.055,17.027,0.044,1.035,0.070434367
6196,296.31098,-14.78141,17.874,0.047,16.789,0.039,1.085,0.061073726
6227,296.10432,-14.79526,17.967,0.052,16.881,0.038,1.086,0.064404969
6233,296.29584,-14.82652,18.03,0.054,17.12,0.046,0.91,0.070936591
6238,296.18644,-14.83661,17.845,0.047,16.699,0.033,1.146,0.057428216
6245,296.29757,-14.7871,17.784,0.044,16.848,0.038,0.936,0.058137767
6261,296.11584,-14.78969,17.868,0.048,16.962,0.04,0.906,0.062481997
6267,296.11546,-14.90132,17.706,0.042,16.771,0.034,0.935,0.054037024
6275,296.26542,-14.83012,17.761,0.044,16.76,0.034,1.001,0.055605755
6282,296.37226,-14.89889,17.918,0.041,16.933,0.037,0.985,0.055226805
6301,296.39022,-14.85509,17.98,0.043,16.939,0.037,1.041,0.056727418
6327,296.22752,-14.81622,18.014,0.054,17.067,0.044,0.947,0.069656299
6346,296.21888,-14.83016,17.972,0.052,16.933,0.04,1.039,0.065604878
