ID,CMD1region,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
2705,1,296.18132,-14.77724,16.299,0.015,15.782,0.016,0.517,0.021931712
2707,1,296.044,-14.74578,16.207,0.015,15.783,0.016,0.424,0.021931712
2711,1,296.37872,-14.84376,16.341,0.013,15.946,0.017,0.395,0.021400935
2731,1,296.18327,-14.75809,16.261,0.014,15.936,0.018,0.325,0.022803509
2734,1,296.05509,-14.85535,16.183,0.015,15.658,0.014,0.525,0.020518285
2739,1,296.31236,-14.84335,16.304,0.014,16.016,0.019,0.288,0.023600847
2740,1,296.22957,-14.66634,16.37,0.014,15.901,0.015,0.469,0.020518285
2743,1,296.10492,-14.68254,16.344,0.014,15.797,0.014,0.547,0.01979899
2746,1,296.35221,-14.80128,16.493,0.015,16.013,0.018,0.48,0.023430749
2747,1,296.25519,-14.72902,16.092,0.013,15.833,0.017,0.259,0.021400935
2754,1,296.1843,-14.95733,16.417,0.016,16.022,0.02,0.395,0.025612497
2757,1,296.03436,-14.72063,16.284,0.015,15.835,0.015,0.449,0.021213203
2759,1,296.16443,-14.90953,16.03,0.012,15.662,0.014,0.368,0.018439089
2769,1,296.15761,-14.88477,16.177,0.013,15.864,0.017,0.313,0.021400935
2780,1,296.24665,-14.89459,16.428,0.016,15.861,0.017,0.567,0.023345235
2782,1,296.16565,-14.67081,16.365,0.014,15.912,0.015,0.453,0.020518285
2789,1,296.21484,-14.87832,16.436,0.016,15.937,0.018,0.499,0.024083189
2790,1,296.29651,-14.81189,16.303,0.014,16.003,0.019,0.3,0.023600847
2797,1,296.36552,-14.63672,16.514,0.016,15.995,0.016,0.519,0.022627417
2798,1,296.26546,-14.84649,16.23,0.014,15.933,0.017,0.297,0.022022716
2801,1,296.24562,-14.92108,16.286,0.014,15.81,0.016,0.476,0.021260292
2804,1,296.26255,-14.77232,16.413,0.016,15.877,0.017,0.536,0.023345235
2806,1,296.37742,-14.77028,16.138,0.012,15.782,0.015,0.356,0.019209373
2817,1,296.11844,-14.71486,16.221,0.013,15.819,0.014,0.402,0.019104973
2822,1,296.27875,-14.78885,16.457,0.016,15.969,0.018,0.488,0.024083189
2828,1,296.30155,-14.92279,16.469,0.016,15.898,0.017,0.571,0.023345235
2839,1,296.38492,-14.69852,16.338,0.014,15.935,0.015,0.403,0.020518285
2849,1,296.22102,-14.85382,16.335,0.015,15.934,0.018,0.401,0.023430749
2857,1,296.1126,-14.72872,16.209,0.014,15.849,0.017,0.36,0.022022716
2866,1,296.11352,-14.89388,16.477,0.016,15.906,0.017,0.571,0.023345235
2867,1,296.20954,-14.85466,16.249,0.014,15.874,0.017,0.375,0.022022716
2872,1,296.05106,-14.84307,16.183,0.015,15.811,0.016,0.372,0.021931712
2874,1,296.12374,-14.93578,16.053,0.012,15.725,0.015,0.328,0.019209373
2882,1,296.11188,-14.85215,16.089,0.013,15.779,0.016,0.31,0.020615528
2886,1,296.09594,-14.82376,16.169,0.013,15.798,0.016,0.371,0.020615528
2890,1,296.34901,-14.74501,15.925,0.01,15.92,0.016,0.005,0.018867962
2897,1,296.04173,-14.7619,16.155,0.015,15.839,0.016,0.316,0.021931712
2902,1,296.12082,-14.75528,16.188,0.013,15.765,0.016,0.423,0.020615528
2904,1,296.40015,-14.8983,16.429,0.014,15.804,0.015,0.625,0.020518285
2908,1,296.16595,-14.67357,16.473,0.015,16.068,0.017,0.405,0.022671568
2909,1,296.11631,-14.74687,16.726,0.02,16.151,0.021,0.575,0.029
2913,1,296.37911,-14.65176,16.532,0.016,15.942,0.015,0.59,0.021931712
2915,1,296.27327,-14.84671,16.516,0.017,16.09,0.02,0.426,0.026248809
2916,1,296.24173,-14.85206,16.566,0.018,15.98,0.018,0.586,0.025455844
2926,1,296.09285,-14.76146,16.452,0.016,15.836,0.016,0.616,0.022627417
2928,1,296.34643,-14.74801,16.421,0.014,15.999,0.017,0.422,0.022022716
2929,1,296.21483,-14.70099,16.525,0.016,15.992,0.017,0.533,0.023345235
