,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
1231,1232,296.2931,-14.77066,15.06,0.03,-0.01,14.96,0.06,-0.06,14.64,0.03,-0.08,14.5,0.04,0.01,12.28,-9999,0.032146007,296.293091,-14.770658,17.02,0.024,16.11,0.016,15.707,0.016,4,4,4
1234,1235,296.26534,-14.83664,15.08,0.04,-0.03,14.96,0.06,-0.06,14.69,0.07,-0.15,14.36,0.06,-0.18,12.62,-9999,0.188938476,296.265289,-14.836622,17.233,0.029,16.294,0.019,15.778,0.016,4,4,4
1236,1237,296.2829,-14.78793,14.99,0.06,0.12,14.96,0.06,0.06,14.9,0.08,0.03,14.64,0.05,-0.07,12.54,-9999,0.150471964,296.282867,-14.787903,17.081,0.025,16.154,0.017,15.625,0.014,4,4,2
1238,1239,296.22411,-14.8577,14.9,0.04,-0.04,14.96,0.03,-0.04,14.78,0.05,-0.24,14.84,0.09,-0.08,12.68,-9999,0.077065563,296.224091,-14.857689,17.076,0.026,16.08,0.016,15.425,0.012,4,4,2
1240,1241,296.2942,-14.75103,14.82,0.04,-0.01,14.96,0.1,-0.06,14.95,0.03,-0.21,14.36,0.04,-0.04,12.56,-9999,0.150211879,296.294159,-14.751017,17.105,0.026,16.066,0.015,15.431,0.014,4,4,4
1241,1242,296.2124,-14.77453,14.8,0.03,0.05,14.96,0.07,0.08,15,0.04,0.01,14.57,0.11,-0.06,13.2,-9999,0.217632431,296.212341,-14.77451,17.161,0.028,16.135,0.017,15.465,0.012,4,4,2
1250,1251,296.24662,-14.78765,14.84,0.04,-0.09,14.97,0.02,-0.12,15.17,0.05,-0.19,14.55,0.07,0.67,11.32,0.28,0.170945341,296.246613,-14.787603,17.169,0.027,16.113,0.016,15.486,0.013,4,4,2
1252,1253,296.22395,-14.92243,15.16,0.06,-0.04,14.97,0.06,-0.01,14.62,0.04,0.03,14.5,0.09,0.04,12.42,-9999,0.175840188,296.223999,-14.922442,17.219,0.028,16.326,0.019,15.812,0.016,4,4,4
1256,1257,296.41026,-14.84979,14.83,0.05,-0.08,14.97,0.06,-0.05,14.87,0.08,-0.36,14.74,0.1,-0.08,13.27,-9999,0.166051472,296.410217,-14.84977,17.173,0.023,16.135,0.014,15.471,0.012,4,4,2
1257,1258,296.2693,-14.66631,14.94,0.05,-0.1,14.97,0.07,-0.1,14.73,0.05,-0.08,14.39,0.03,0.04,12.55,-9999,0.087608797,296.269318,-14.666327,16.822,0.02,15.902,0.011,15.432,0.011,4,4,4
1263,1264,296.22129,-14.79927,14.75,0.06,0.2,14.98,0.04,0.21,15.01,0.04,0.22,14.56,0.08,0.33,12.04,-9999,0.20088465,296.221252,-14.799312,17.326,0.031,16.268,0.019,15.499,0.013,4,4,2
1268,1269,296.17901,-14.78966,14.99,0.06,0.12,14.98,0.05,0.04,15,0.04,-0.08,14.8,0.06,0.12,11.87,0.12,0.370611148,296.178925,-14.789598,16.889,0.022,15.999,0.015,15.518,0.013,4,4,2
1270,1271,296.17016,-14.84462,14.8,0.06,0,14.98,0.07,0.02,14.9,0.04,-0.04,14.18,0.05,0.06,10.95,0.1,0.223387072,296.170105,-14.844588,17.354,0.032,16.234,0.018,15.509,0.013,4,4,4
1276,1277,296.20027,-14.78031,14.83,0.04,0.13,14.98,0.04,0.15,15.12,0.05,0.3,14.31,0.05,-0.15,12.38,-9999,0.187407569,296.200226,-14.78028,17.036,0.025,16.076,0.016,15.439,0.012,4,4,4
